Host Searched For,Number of Exporters Seen On,Total Number of Connections,List of Exporters Found On
141.207.249.235,11,3256504,"['10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.15.180', '10.1.1.9', '10.1.2.225', '10.1.2.69', '10.1.4.32', '10.60.1.10', '10.60.1.205', '10.60.1.81']"
74.125.0.200,14,18430,"['10.1.1.251', '10.1.1.252', '10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.1.7', '10.1.1.9', '10.1.2.225', '10.1.2.69', '10.1.4.32', '10.60.1.10', '10.60.1.81', '192.168.6.1', '64.140.243.134']"
31.13.71.14,17,11135938,"['10.1.1.251', '10.1.1.252', '10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.15.180', '10.1.1.7', '10.1.1.9', '10.1.2.225', '10.1.2.69', '10.1.4.32', '10.30.17.16', '10.60.1.10', '10.60.1.205', '10.60.1.81', '192.168.6.1', '64.140.243.134']"
31.13.71.7,23,589638765,"['10.1.1.251', '10.1.1.252', '10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.15.180', '10.1.1.7', '10.1.1.9', '10.1.2.225', '10.1.2.69', '10.1.4.32', '10.2.1.2', '10.30.17.16', '10.30.187.250', '10.60.1.10', '10.60.1.205', '10.60.1.81', '10.60.1.82', '192.168.1.1', '192.168.11.1', '192.168.6.1', '192.168.7.1', '64.140.243.134']"
104.88.39.10,13,120337,"['10.1.1.251', '10.1.1.252', '10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.15.180', '10.1.1.7', '10.1.1.9', '10.1.2.225', '10.1.2.69', '10.1.4.32', '10.60.1.10', '64.140.243.134']"
69.31.116.72,6,1744,"['10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.2.69', '10.1.4.32', '10.60.1.10']"
165.254.6.17,12,50467,"['10.1.1.251', '10.1.1.252', '10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.1.7', '10.1.1.9', '10.1.2.225', '10.1.2.69', '10.1.4.32', '10.60.1.10', '64.140.243.134']"
10.1.5.2,27,8269400861,"['10.1.1.251', '10.1.1.252', '10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.15.180', '10.1.1.7', '10.1.1.9', '10.1.2.225', '10.1.2.69', '10.1.4.208', '10.1.4.32', '10.1.5.2', '10.2.1.2', '10.30.10.37', '10.30.17.16', '10.30.187.250', '10.60.1.10', '10.60.1.205', '10.60.1.81', '10.60.1.82', '127.0.0.1', '192.168.1.1', '192.168.11.1', '192.168.5.1', '192.168.6.1', '192.168.7.1']"
10.1.4.240,22,2436778350,"['10.1.1.251', '10.1.1.252', '10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.15.180', '10.1.1.7', '10.1.1.9', '10.1.2.225', '10.1.2.69', '10.1.4.32', '10.1.5.2', '10.30.10.37', '10.30.17.16', '10.30.187.250', '10.60.1.10', '10.60.1.205', '10.60.1.81', '10.60.1.82', '127.0.0.1', '192.168.1.1', '192.168.7.1']"
10.1.1.3,20,4716432966,"['10.1.1.251', '10.1.1.252', '10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.15.180', '10.1.1.7', '10.1.1.9', '10.1.2.225', '10.1.2.69', '10.1.4.208', '10.1.4.32', '10.30.10.37', '10.30.17.16', '10.30.187.250', '10.60.1.10', '10.60.1.81', '10.60.1.82', '127.0.0.1', '64.140.243.134']"
69.192.109.199,16,4130201,"['10.1.1.251', '10.1.1.252', '10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.15.180', '10.1.1.7', '10.1.1.9', '10.1.2.225', '10.1.2.69', '10.1.4.32', '10.60.1.10', '10.60.1.81', '10.60.1.82', '192.168.7.1', '64.140.243.134']"
64.222.212.206,14,1036856,"['10.1.1.251', '10.1.1.252', '10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.15.180', '10.1.1.7', '10.1.1.9', '10.1.2.225', '10.1.2.69', '10.1.4.32', '10.60.1.10', '10.60.1.205', '64.140.243.134']"
40.97.28.82,20,2822573,"['10.1.1.251', '10.1.1.252', '10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.15.180', '10.1.1.7', '10.1.1.9', '10.1.2.225', '10.1.2.69', '10.1.4.32', '10.60.1.10', '10.60.1.205', '10.60.1.81', '10.60.1.82', '192.168.1.1', '192.168.11.1', '192.168.6.1', '192.168.7.1', '64.140.243.134']"
40.97.230.178,19,5328945,"['10.1.1.251', '10.1.1.252', '10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.15.180', '10.1.1.7', '10.1.1.9', '10.1.2.225', '10.1.2.69', '10.1.4.32', '10.60.1.10', '10.60.1.205', '10.60.1.81', '10.60.1.82', '192.168.1.1', '192.168.6.1', '192.168.7.1', '64.140.243.134']"
151.101.117.67,16,4833226,"['10.1.1.251', '10.1.1.252', '10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.15.180', '10.1.1.7', '10.1.1.9', '10.1.2.225', '10.1.2.69', '10.1.4.32', '10.60.1.10', '10.60.1.205', '10.60.1.81', '192.168.7.1', '64.140.243.134']"
40.97.230.2,18,5140969,"['10.1.1.251', '10.1.1.252', '10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.15.180', '10.1.1.7', '10.1.1.9', '10.1.2.225', '10.1.2.69', '10.1.4.32', '10.60.1.10', '10.60.1.205', '10.60.1.81', '192.168.1.1', '192.168.6.1', '192.168.7.1', '64.140.243.134']"
104.244.42.130,14,4396252,"['10.1.1.251', '10.1.1.252', '10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.15.180', '10.1.1.7', '10.1.1.9', '10.1.2.225', '10.1.2.69', '10.1.4.32', '10.60.1.10', '192.168.6.1', '64.140.243.134']"
199.166.0.26,18,1164900,"['10.1.1.251', '10.1.1.252', '10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.15.180', '10.1.1.7', '10.1.1.9', '10.1.2.225', '10.1.2.69', '10.1.4.32', '10.60.1.10', '10.60.1.81', '10.60.1.82', '192.168.1.1', '192.168.6.1', '192.168.7.1', '64.140.243.134']"
74.125.0.24,13,14728,"['10.1.1.251', '10.1.1.252', '10.1.1.254', '10.1.1.3', '10.1.1.4', '10.1.1.7', '10.1.1.9', '10.1.2.225', '10.1.2.69', '10.1.4.32', '10.60.1.10', '192.168.6.1', '64.140.243.134']"
Hosts Not Found
